"","Citations","Discipline","degree_t1","degree_t2","rel_strength_t1","rel_strength_t2","degree_t2_r"
"1",19,1,62,62,2.125,2.3125,62
"2",3,2,49,57,1.8125,2.1875,54
"3",170,4,49,49,1.5625,1.5625,38
"4",23,1,47,55,1.46875,1.8125,52
"5",16,4,45,45,1.28125,1.28125,33
"6",6,4,11,29,0.53125,1.28125,29
"7",1,4,15,17,0.5,0.5,10
"8",9,2,50,61,1.25,1.90625,55
"9",6,2,30,33,0.8125,1.03125,26
"10",40,1,47,56,1.59375,1.875,48
"11",15,1,48,55,1.15625,1.8125,51
"12",54,1,29,38,0.78125,1,23
"13",4,2,38,45,1.46875,1.65625,35
"14",46,1,58,58,2.3125,2.53125,53
"15",17,1,47,50,1.40625,1.53125,39
"16",32,3,46,54,1.28125,1.65625,46
"17",23,4,36,47,1.28125,1.71875,39
"18",1,1,21,30,0.84375,0.90625,26
"19",34,1,50,48,1.28125,1.3125,42
"20",64,1,48,49,1.5625,1.5625,42
"21",11,3,54,54,1.75,1.75,48
"22",11,1,44,48,1.46875,1.59375,46
"23",31,1,33,41,0.96875,1.375,30
"24",18,1,46,56,1.78125,2.21875,54
"25",4,1,37,41,1.4375,1.5,36
"26",0,1,34,40,1.25,1.25,25
"27",4,3,36,48,0.84375,1.6875,40
"28",56,1,42,48,1.15625,1.3125,37
"29",12,1,49,57,1.5625,2.1875,55
"30",2,2,34,44,1.21875,1.6875,38
"31",0,4,42,56,1.6875,2.3125,56
"32",1,2,23,47,1,1.78125,38
